 termasyhur | masyhur 
 pemasyhuran | masyhur 
 kemasyhuran | masyhur 
 pembelaan | bela 
 pembela | bela 
 membenarkan | benar 
 membenar | benar 
 membenari | benar 
 terbenar | benar 
 beneran | benar 
 pembenaran | benar 
 memperbenar | benar 
 sebenarnya | benar 
 kebenaran | benar 
 memberanikan | berani 
 terberanikan | berani 
 pemberani | berani 
 keberanian | berani 
 pemberantas | berantas 
 pemberantasan | berantas 
 berjuang | juang 
 memperjuangkan | juang 
 kepejuangan | juang 
 perjuangan | juang 
 kejuangan | juang 
 memberkahkan | berkah 
 memberkahi | berkah 
 keberkahan | berkah 
 membersihkan | bersih 
 pembersih | bersih 
 pembersihan | bersih 
 kebersihan | bersih 
 kebijaksanaan | bijaksana 
 berbimbingan | bimbing 
 membimbing | bimbing 
 bimbingan | bimbing 
 berbimbing | bimbing 
 pembimbing | bimbing 
 pembinaan | bina 
 pembina | bina 
 membugarkan | bugar 
 pembugaran | bugar 
 kebugaran | bugar 
 mencantikan | cantik 
 mempercantik | cantik 
 pemercantik | cantik 
 tercantik | cantik 
 kecantikan | cantik 
 mencemerlangkan | cemerlang 
 kecemerlangan | cemerlang 
 mempercepat | cepat 
 percepat | cepat 
 mencepatkan | cepat 
 pemercepat | cepat 
 berkecepatan | cepat 
 secepat | cepat 
 secepatnya | cepat 
 kecepatan | cepat 
 mempercerah | cerah 
 pencerahan | cerah 
 kecerahan | cerah 
 mencerdaskan | cerdas 
 pencerdasan | cerdas 
 kecerdasan | cerdas 
 kecerdikan | cerdik 
 mencermatkan | cermat 
 mencermati | cermat 
 kecermatan | cermat 
 bercinta | cinta 
 bercintakan | cinta 
 mencinta | cinta 
 mencintai | cinta 
 mencintakan | cinta 
 tercinta | cinta 
 percintaan | cinta 
 kecintaan | cinta 
 mendahsyatkan | dahsyat 
 memperdahsyat | dahsyat 
 terjelaskan | jelas 
 penjelasan | jelas 
 kejelasan | jelas 
 menjelaskan | jelas 
 ketelitian | jeli 
 memenangkan | menang 
 memenangi | menang 
 kemenangan | menang 
 pemerdeka | merdeka 
 memerdekakan | merdeka 
 kemerdekaan | merdeka 
 kemewahan | mewah 
 bermoral | moral 
 termotivasi | motivasi 
 memotivasi | motivasi 
 memudahkan | mudah 
 semudah | mudah 
 mempermudah | mudah 
 kemudahan | mudah 
 pemufakatan | mufakat 
 kemufakatan | mufakat 
 bermufakat | mufakat 
 kemujuran | mujur 
 menasihatkan | nasihat 
 penasihat | nasihat 
 menasihati | nasihat 
 menyamankan | nyaman 
 kenyamanan | nyaman 
 pengoptimalan | optimal 
 mengoptimalkan | optimal 
 keaslian | otentik 
 kepahlawanan | pahlawan 
 kepastian | pasti 
 mematuhi | patuh 
 kepatuhan | patuh 
 memedulikan | peduli 
 kepedulian | peduli 
 peliharaan | pelihara 
 terpelihara | pelihara 
 terpenting | penting 
 berkepentingan | penting 
 kepentingan | penting 
 kepercayaan | percaya 
 terpercaya | percaya 
 keperkasaan | perkasa 
 kepesatan | pesat 
 keproduktifan | produktif 
 pemuasan | puas 
 memuaskan | puas 
 kepuasan | puas 
 pemujian | puji 
 pemuji | puji 
 terpuji | puji 
 pujian | puji 
