 tidak baik | buruk 
 tidak buruk | baik 
 tidak lambat | cepat 
 tidak cepat | lambat 
 tidak suka | berselisih 
 tidak mendukung | berselisih 
 tidak tanggap | lambat 
 tidak peduli | lalai 
 pantang menyerah | kuat 
 luar biasa | hebat 
 kurang pandai | meleset 
 kurang cepat | lambat 
 kurang tepat | lalai 
 tidak pandai | meleset 
 lebih baik | baik 
 tidak sejalan | berselisih 
 tidak selamat | gagal 
 tidak kuat | lemah 
 tidak lemah | kuat 
 kurang kuat | lemah 
 kurang setuju | berselisih 
 tidak terima | benci 
 tidak karuan | kacau 
 tidak teratur | kacau 
 kurang teratur | kacau 
 kurang terima | berselisih 
 kurang sigap | lambat 
 tidak hebat | lemah 
 tidak bertahan | gagal 
 tidak berjalan | berhenti 
 tidak aman | bahaya 
 tidak bahaya | aman 
 tidak tertib | kacau
 benar | betul 
