 alay | aneh 
 ancur | hancur 
 asal mangap | ceroboh 
 asbun | cerewet 
 asik | asyik 
 bacot | bawel 
 bae | baik 
 baek | baik 
 basbang | basi 
 bcus | becus 
 belagu | songong 
 bete | kesal 
 bgus | bagus 
 bls | balas 
 bner | benar 
 bnr | benar 
 bntrok | bentrok 
 bodo | masa bodoh 
 boong | bohong 
 brni | berani 
 buset | buset 
 cakep | bagus 
 cetek | mudah 
 cingcong | omong 
 cocot | omong 
 cuek | cuek 
 demen | suka 
 dkung | dukung 
 ego | bodoh 
 egp | masa bodoh 
 gaje | tidak jelas 
 gazebo | tidak jelas 
 geblek | bodoh 
 geje | tidak jelas 
 gercep | cepat 
 getol | rajin 
 gile | gila 
 goblog | bodoh 
 gombal | bohong 
 guoblok | bodoh 
 jls | jelas 
 kabur | kabur 
 kcwa | kecewa 
 kcewa | kecewa 
 kece | bagus 
 kere | miskin 
 kesel | kesal 
 kismin | miskin 
 kongkalikong | sekongkol 
 koplak | bodoh 
 lamreta | lambat 
 lebay | norak 
 mabok | mabuk 
 makjul | makzul 
 males | malas 
 mantab | mantap 
 maruk | rakus 
 memble | jelek 
 mencla mencle | lelet 
 mending | baik 
 mjd | menjadi 
 nampol | tampar 
 ngabur | ngacir 
 ngaco | sembarang 
 ngamuk | marah 
 ngawur | sembarang 
 ngeles | berkilah 
 ngeri | takut 
 ngeyel | keras kepala 
 ngotot | memaksa 
 oon | bodoh 
 parno | takut 
 php | pemberi harapan palsu 
 rempong | rumit 
 rese | sebal 
 resek | sebal 
 ribet | rumit 
 sarap | gila 
 sebel | sebal 
 semprul | bodoh 
 slah | salah 
 slamat | selamat 
 sok | sombong 
 somplak | bodoh 
 stress | gila 
 taik' | kotoran 
 tajir | kaya 
 thks | terima kasih 
 thx | terima kasih 
 tkut | takut 
 tkt | takut 
 tolol | bodoh 
 top | bagus 
 yg | yang 
 jgn | jangan 
 bnyk | banyak 
 byk | banyak 
 org | orang 
 kagak | tidak 
 gak | tidak 
 gk | tidak 
 ga | tidak 
 nggak | tidak 
 kaga | tidak 
 emang | memang 
 emg | memang 
 emng | memang 
 klo | kalau 
 kalo | kalau 
 klu | kalau 
 kl | kalau 
 dr | dari 
 brni | berani 
 gada | tidak ada 
 mslh | masalah 
 bnjir | banjir 
 mcet | macet 
 lg | lagi 
 smoga | semoga 
 smga | semoga 
 dgn | dengan 
 dg | dengan 
 bs | bisa 
 mju | maju 
 sblum | sebelum 
 tk | tidak 
 tdk | tidak 
 jd | jadi 
 sy | saya 
 gue | saya 
 gw | saya 
 gu | saya 
 gua | saya 
 wa | saya 
 utk | untuk 
 untk | untuk 
 u | untuk 
 ut | untuk 
 unt | untuk 
 sdh | sudah 
 sdah | sudah 
 udah | sudah 
